  id, archipelago_size,  selection, populations,        topology, migration_selection,
1431,               80, tournament,         351, fully_connected,          tournament,
2080,               20, tournament,         314,            ring,          tournament,
2158,              100, tournament,         392, fully_connected,          tournament,
2177,              100, tournament,         389,            ring,            roulette,
1920,                5, tournament,         316, fully_connected,                 sus,
1805,               20, tournament,         447, fully_connected,                 sus,
1845,               10, tournament,         388,            star,                 sus,
1292,               10, tournament,         387, fully_connected,                 sus,
1707,               20, tournament,         216,            ring,            roulette,
1813,               20, tournament,         259,            ring,            roulette,
2008,               60, tournament,         373,            ring,                 sus,
2063,               40, tournament,         223,            star,                 sus,
2068,              100, tournament,         250,            star,          tournament,
1915,              100, tournament,         283,            star,            roulette,
1121,              100, tournament,         276,            star,            roulette,
2042,               60, tournament,         359,            star,                 sus,
1306,               10, tournament,         442,            mesh,                 sus,
2145,                5, tournament,         463, fully_connected,          tournament,
1729,               10, tournament,         410,            mesh,                 sus,
2066,                5, tournament,         398,            ring,                 sus,
2186,                3, tournament,         365,            mesh,          tournament,
1740,                5, tournament,         312,            ring,          tournament,
1644,                2, tournament,         314,            mesh,          tournament,
2036,                5, tournament,         285,            mesh,            roulette,
1591,                5, tournament,         268, fully_connected,                 sus,
 714,                2, tournament,         272,            star,            roulette,
1670,                3, tournament,         322,            star,            roulette,
2212,                5, tournament,         242, fully_connected,                 sus,
1951,               20, tournament,         465,            star,            roulette,
1727,               20, tournament,         289,            ring,            roulette,
2218,               80, tournament,         249,            ring,            roulette,
2008,               60, tournament,         266,            ring,            roulette,
1907,                3, tournament,         293,            ring,                 sus,
1590,                2, tournament,         236,            ring,                 sus,
2089,                3, tournament,         352,            star,                 sus,
1238,                2, tournament,         399,            mesh,          tournament,
1949,               60, tournament,         395,            star,          tournament,
2115,               10, tournament,         206, fully_connected,          tournament,
2155,               20, tournament,         256, fully_connected,          tournament,
2163,               80, tournament,         459,            star,          tournament,
1135,              100, tournament,         489,            ring,          tournament,
1137,               40, tournament,         290,            ring,          tournament,
2148,               40, tournament,         481, fully_connected,          tournament,
1586,               40, tournament,         499, fully_connected,          tournament,
1550,              100, tournament,         334,            star,          tournament,
1371,                5, tournament,         317,            ring,            roulette,
2154,               80, tournament,         429,            star,          tournament,
 423,               80, tournament,         336,            star,          tournament,
1439,               20, tournament,         393,            star,            roulette,
2196,               20, tournament,         355,            star,            roulette,
1170,               20, tournament,         349,            star,                 sus,
2214,               10, tournament,         397,            star,            roulette,
2090,               80, tournament,         435,            star,                 sus,
1798,               60, tournament,         363, fully_connected,                 sus,
2185,              100, tournament,         354,            ring,                 sus,
1786,              100, tournament,         364,            ring,                 sus,
2146,                3, tournament,         438,            star,          tournament,
2022,               10, tournament,         471,            ring,            roulette,
1451,                2, tournament,         434,            star,          tournament,
2095,                5, tournament,         437,            ring,            roulette,
1651,                3, tournament,         464, fully_connected,          tournament,
2030,               20, tournament,         452,            star,            roulette,
2257,               10, tournament,         408,            star,            roulette,
2184,               60, tournament,         431,            star,            roulette,
2049,                3, tournament,         394,            mesh,          tournament,
1697,               10, tournament,         468,            ring,                 sus,
2155,               20, tournament,         485,            ring,                 sus,
1652,               10, tournament,         459, fully_connected,          tournament,
1273,                5, tournament,         439,            ring,                 sus,
1850,                5, tournament,         394, fully_connected,                 sus,
1723,               20, tournament,         416,            ring,                 sus,
2045,               10, tournament,         440, fully_connected,                 sus,
1269,               20, tournament,         500,            star,                 sus,
2088,                2, tournament,         495,            mesh,                 sus,
2082,               40, tournament,         478,            star,                 sus,
1908,                5, tournament,         477,            star,          tournament,
 825,               10, tournament,         234,            ring,                 sus,
1976,               40, tournament,         310, fully_connected,                 sus,
1546,               10, tournament,         282, fully_connected,                 sus,
2118,               40, tournament,         316, fully_connected,                 sus,
